# [sin((M_error^2)), ((R + O_error) / ln(R))]
# Property Label: $OMR$; Unit of the Property: Unitless
# # Samples in Convex Hull Overlap Region: 5;# Samples SVM Misclassified: 4
# Decision Boundaries
# Task   w0                      w1                      b
# all__1.0_0.0,  1.153371004811275e+00, -7.409952283106281e-01, -1.348038181644189e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         2|sq|sin; sin((M_error^2)); $\left(\sin{ \left(M_{error}^2\right) }\right)$; sin((M_error).^2); M_error;[-1.000000000000000e+00, 1.000000000000000e+00]
# 1;  2; Unitless;                                         3|1|add|3|log|div; ((R + O_error) / ln(R)); $\left(\frac{ \left(R + O_{error}\right) }{ \left(\ln{ R }\right) } \right)$; ((R + O_error) ./ log(R)); R,O_error,R
# Number of Samples Per Task
# Task, n_samples               
# all , 62                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
t           ,  0.000000000000000e+00,  0.000000000000000e+00,  9.683466404038488e-01, -1.803450073729185e+01
t           ,  0.000000000000000e+00,  1.000000000000000e+00, -4.616645078236254e-01, -1.549614555733803e+01
t           ,  0.000000000000000e+00,  0.000000000000000e+00,  8.996576625674351e-01, -2.065304050537670e+01
t           ,  0.000000000000000e+00,  1.000000000000000e+00,  9.885157649778493e-01, -1.662411775570325e+01
t           ,  0.000000000000000e+00,  1.000000000000000e+00,  9.885157649778493e-01, -1.662411775570325e+01
t           ,  0.000000000000000e+00,  0.000000000000000e+00, -7.555339059124857e-03, -2.215359355584848e+01
t           ,  0.000000000000000e+00,  0.000000000000000e+00,  8.231892894314913e-02, -2.360268927563738e+01
t           ,  0.000000000000000e+00,  0.000000000000000e+00,  9.497850623262191e-01, -1.860192723098267e+01
t           ,  0.000000000000000e+00,  0.000000000000000e+00, -1.516644967962061e-01, -1.892689047926650e+01
t           ,  0.000000000000000e+00,  0.000000000000000e+00, -9.765696615218418e-01, -2.157444229828215e+01
